Hotel_name,name,rating,review
Travello Hotel,nixie,2.0,"hotel looks more run down in person than photo seen on agoda. rooms are dark and seem old and dirty. the work chairs have so much stain on it. no light in shower area, generally dark room. there is a pool was seemed dirty and more decorative with lights on. Rooms: dirty and old"
Travello Hotel,muhamad algi,5.0,"Thanks for always helping Mr Roni front office. Helping & food sercive restaurant team. and also the kitchen staff (Mr andhika & Mr Rahmat) met us at the pool, they were very kind and served me, & Very helping from security & valet team. only we need direct access down to the basement without going through the stairs."
Travello Hotel,jessica tanudjaja,5.0,"It was a pleasant to stay at Travello Hotel. I stayed here to attend a wedding located in a five star hotel next to Travello so you can imagine how many things that I brought that time (big dresses, makeup things, shoes, casual outfits, not to mention that I also brought flowers as I was the handbouquet vendor). The most impressive about this hotel is the service. I called the hotel and asked whether I can put my flowers in their chiller prior my arrival, and they were very helpful and let me to stored my flowers in their employee chiller, whilst the hotel where my relatives held her wedding did not allow me to borrow their chiller. Can you imagine how stingy that hotel is, and how generous Travello is, as my relative pay to that hotel and they did not allow me to borrow their chiller, while Travello did not get any money from my relative yet they still being very helpful and let me to store my flowers in their chiller. Travello's location is right before the Terminal, so the traffic jam is still bearable and not long. The hotel room is spacious. My room has a wardrobe located at the edge of the room and looked ""hidden"" but it was actually spacious, and you can simply put your messy things in there so your room still looked neat. The bathroom is so spacious so you do not need to worry to wet the floor when you finish showering since there is a lot of space left. Also you do not need to worry whether you might step on water puddle when you exchange into big dresses. The hotel staff were friendly and helpful. When I asked the staff to repair or change my chair (as that chair's spring was broken), they came in a short time and repair my chair. The only setback is the room is not that pristine clean (in my opinion as a very neat person, almost clean freak), the wall is not too thick, and there are no bolster. It is clean though, but not pristine clean. I think the cleanliness will be 7.5/10 for Travello. As for bolster, I can totally understand as there is only a few hotel who has bolsters. Unfortunately, when I stayed at Travello there are a lot of families with children who stayed in the same floor with me and I can hear the children running through the hallway and laughing, so my room quite exposed with the noise from the hallway and from the main road (as my room located in 5th floor). I suggest you to request for higher floors so you might not hear the noise from the main road. I will come back to Travello next time when I visit Bandung. Thank you Travello for your hospitality. In summary: Cleanliness 7.5/10 Service 9.5/10 Friendliness and helpfulness 9.5/10 Location 8.5/10 Room spacious 8.5/10 Noise muffled 7.5/10"
Travello Hotel,Reza Aditya,3.0,"We rent the Suite King room with bathtub. Overall, the room is nice. Spacious and fits our needs. But the bathroom is 3/10. Tidak ada saluran pembuangan di dekat bathtub, jadi air yg tumpah dari bathtub (we bring 2 kids, 8 and 5 years old) selalu tergenang. This is clearly a design fail. My kids constantly tripped because of this! And the elevator. The elevator should be accessible from any floor down to B1 (basement) floor, but it stops at the Lobby and B1 button can't be pressed. You can go up from B1 to any floor, but not the other way around. The steps are steep. This is a nightmare for disable/difable people that stays here, and for seniors over 60. This is friggin' important! The food. Oh my god, this is the first time I order a sunny side up, but tasted gross! Other food is so so. Not that good, but not that bad either. The pool, meh, small. Clearly, this hotel can be better. The location, services from the staffs, and room are nice. But not the facility. Please improve. That's why I gave only 3 out of 5 stars (should be 2 out of 5, but I'm being nice). Price wise, it's cheap. The price is really good."
Travello Hotel,Jessie Jess,5.0,"Excellent in everything! Huge and luxurious lobby, humble and helpful staffs, clean room. Really worth the money even though the location is quite far from city. Will definitely come back!"
Travello Hotel,abyaz Fazl,5.0,"Good hotel for group , work and vacation . Price reasonable for this hotel"
Travello Hotel,B Harsanto,5.0,"recommend hotel with clean rooms, friendly staff, a varied breakfast menu"
Travello Hotel,Citra Novi,5.0,"stay in suite room early 2020, the room was huge, bathroom also big with spacious bathtub, the hotel was clean, hand sanitizer everywhere to keep the hygiene. pool was clean, not too big though. selection and taste of breakfast was okay. the laundry package consider cheap, with great quality. totally recommended place to stay."
Travello Hotel,Srisna J. Lahay,5.0,"Great hotel. Strategically situated on a road leading to lembang & across from universitas pendidikan indonesia (UPI), so close to city center & tourist destinations. Large room. Clean. Great service. Amazing view of bandung landscape. We stayed on the 8th floor & had this beautiful sunrise from our window room. Price? Not too expensive. But worth every cent if u consider the location & the view u get 😎🙏"
Travello Hotel,Decy Sophan,3.0,"The Breakfast is average, the vibes is not so good, but if you just want to stay for 1 day while you're visiting bandung, is good choice, near UPI, the education university of Indonesia."
